2,1,425,212,19,42,-1,-1,-1,-1
2,2,516,210,20,48,-1,-1,-1,-1
2,4,133,211,10,43,-1,-1,-1,-1
3,1,427,212,18,41,-1,-1,-1,-1
3,2,517,208,21,48,-1,-1,-1,-1
3,4,135,210,10,42,-1,-1,-1,-1
4,1,427,210,19,43,-1,-1,-1,-1
4,2,519,206,21,49,-1,-1,-1,-1
4,4,137,208,10,42,-1,-1,-1,-1
4,8,376,210,18,47,-1,-1,-1,-1
4,10,226,207,8,38,-1,-1,-1,-1
5,1,428,210,19,42,-1,-1,-1,-1
5,2,521,202,21,49,-1,-1,-1,-1
5,4,137,206,9,40,-1,-1,-1,-1
5,8,388,205,18,47,-1,-1,-1,-1
5,10,225,207,8,37,-1,-1,-1,-1
6,1,429,207,18,41,-1,-1,-1,-1
6,2,522,201,22,50,-1,-1,-1,-1
6,4,135,204,10,42,-1,-1,-1,-1
6,8,390,203,18,49,-1,-1,-1,-1
6,12,351,214,10,24,-1,-1,-1,-1
7,1,428,211,20,44,-1,-1,-1,-1
7,2,522,208,21,49,-1,-1,-1,-1
7,4,135,203,11,42,-1,-1,-1,-1
7,8,394,201,19,49,-1,-1,-1,-1
7,10,212,217,8,35,-1,-1,-1,-1
7,12,352,214,9,23,-1,-1,-1,-1
8,1,426,212,20,46,-1,-1,-1,-1
8,2,522,210,22,49,-1,-1,-1,-1
8,10,208,219,8,35,-1,-1,-1,-1
8,12,348,220,10,24,-1,-1,-1,-1
9,1,425,209,20,46,-1,-1,-1,-1
9,2,521,205,23,50,-1,-1,-1,-1
9,4,126,207,12,44,-1,-1,-1,-1
9,8,396,207,19,47,-1,-1,-1,-1
9,12,348,222,9,24,-1,-1,-1,-1
10,1,423,208,21,48,-1,-1,-1,-1
10,2,520,205,23,50,-1,-1,-1,-1
10,4,124,208,12,44,-1,-1,-1,-1
10,8,400,206,18,48,-1,-1,-1,-1
11,1,420,208,22,50,-1,-1,-1,-1
11,2,516,204,24,52,-1,-1,-1,-1
11,4,116,207,12,46,-1,-1,-1,-1
12,1,419,206,21,49,-1,-1,-1,-1
12,2,514,204,24,52,-1,-1,-1,-1
12,4,112,205,12,44,-1,-1,-1,-1
12,16,326,217,10,25,-1,-1,-1,-1
12,18,266,203,15,49,-1,-1,-1,-1
13,1,419,204,22,52,-1,-1,-1,-1
13,2,516,202,24,53,-1,-1,-1,-1
13,4,110,203,13,44,-1,-1,-1,-1
13,16,329,215,9,24,-1,-1,-1,-1
13,18,264,202,16,48,-1,-1,-1,-1
14,1,420,208,22,52,-1,-1,-1,-1
14,2,518,204,24,53,-1,-1,-1,-1
14,4,111,206,13,44,-1,-1,-1,-1
14,10,177,214,8,36,-1,-1,-1,-1
14,12,332,217,11,27,-1,-1,-1,-1
14,16,330,215,9,22,-1,-1,-1,-1
14,18,263,201,15,48,-1,-1,-1,-1
15,1,420,209,23,53,-1,-1,-1,-1
15,2,519,203,25,54,-1,-1,-1,-1
15,4,112,208,12,43,-1,-1,-1,-1
15,10,172,215,8,36,-1,-1,-1,-1
15,12,332,217,10,27,-1,-1,-1,-1
15,20,121,209,22,42,-1,-1,-1,-1
16,1,419,209,23,54,-1,-1,-1,-1
16,2,519,203,25,54,-1,-1,-1,-1
16,4,110,208,14,44,-1,-1,-1,-1
16,8,441,208,21,53,-1,-1,-1,-1
16,12,331,217,11,28,-1,-1,-1,-1
16,18,254,204,17,52,-1,-1,-1,-1
16,20,122,207,22,43,-1,-1,-1,-1
